"","Sample","Leaf_cm2","Lesion_cm2","Rust_cm2","SampID","Leaf","Replicate","Treatment","Genotype","Region"
"433","G6.T4.R2_L3",51.3652,0.2043,0,"G6.T4.R2","L3","R2","Aureobasidium","West-2","Western"
"434","G6.T4.R3_L1",55.4686,0.1311,9e-04,"G6.T4.R3","L1","R3","Aureobasidium","West-2","Western"
"435","G6.T4.R3_L2",81.3318,0.3341,0.0015,"G6.T4.R3","L2","R3","Aureobasidium","West-2","Western"
"436","G6.T4.R3_L3",70.5087,0.6417,5e-04,"G6.T4.R3","L3","R3","Aureobasidium","West-2","Western"
"437","G6.T4.R4_L2",61.6962,0.6161,0.0012,"G6.T4.R4","L2","R4","Aureobasidium","West-2","Western"
"438","G6.T4.R4_L3",60.3024,0.3846,0.0021,"G6.T4.R4","L3","R4","Aureobasidium","West-2","Western"
"439","G6.T4.R5_L1",53.9926,0.0801,0,"G6.T4.R5","L1","R5","Aureobasidium","West-2","Western"
"440","G6.T4.R5_L2",41.3494,0.0645,0,"G6.T4.R5","L2","R5","Aureobasidium","West-2","Western"
"441","G6.T4.R5_L3",48.0486,0.0386,0,"G6.T4.R5","L3","R5","Aureobasidium","West-2","Western"
"442","G6.T5.R1_L1",43.6479,0.6294,0.0025,"G6.T5.R1","L1","R1","Dioszegia","West-2","Western"
"443","G6.T5.R2_L2",65.9703,0.0251,0,"G6.T5.R2","L2","R2","Dioszegia","West-2","Western"
"444","G6.T5.R2_L3",59.9423,0.0483,0,"G6.T5.R2","L3","R2","Dioszegia","West-2","Western"
"445","G6.T5.R3_L1",72.5516,0.1137,0,"G6.T5.R3","L1","R3","Dioszegia","West-2","Western"
"446","G6.T5.R3_L2",79.0057,0.0494,0,"G6.T5.R3","L2","R3","Dioszegia","West-2","Western"
"447","G6.T5.R3_L3",77.9376,0.356,1e-04,"G6.T5.R3","L3","R3","Dioszegia","West-2","Western"
"448","G6.T5.R4_L1",61.0987,0.0189,0,"G6.T5.R4","L1","R4","Dioszegia","West-2","Western"
"449","G6.T5.R4_L2",74.143,0.1203,5e-04,"G6.T5.R4","L2","R4","Dioszegia","West-2","Western"
"450","G6.T5.R4_L3",63.701,0.2699,0,"G6.T5.R4","L3","R4","Dioszegia","West-2","Western"
"451","G6.T5.R5_L1",12.186,0.0786,0.0031,"G6.T5.R5","L1","R5","Dioszegia","West-2","Western"
"452","G6.T5.R5_L2",7.995,0.1559,0.0012,"G6.T5.R5","L2","R5","Dioszegia","West-2","Western"
"453","G6.T5.R5_L3",9.3219,0.0245,0,"G6.T5.R5","L3","R5","Dioszegia","West-2","Western"
"454","G6.T6.R1_L1",71.6061,0.1642,0,"G6.T6.R1","L1","R1","Control","West-2","Western"
"455","G6.T6.R2_L1",62.9407,0.1534,0,"G6.T6.R2","L1","R2","Control","West-2","Western"
"456","G6.T6.R2_L2",50.0327,0.4803,0.0073,"G6.T6.R2","L2","R2","Control","West-2","Western"
"457","G6.T6.R2_L3",48.1911,1.3857,0.021,"G6.T6.R2","L3","R2","Control","West-2","Western"
"458","G6.T6.R3_L1",23.1959,0.5605,0.0031,"G6.T6.R3","L1","R3","Control","West-2","Western"
"459","G6.T6.R3_L2",22.7472,0.0708,0,"G6.T6.R3","L2","R3","Control","West-2","Western"
"460","G6.T6.R4_L1",68.5065,0.2626,0,"G6.T6.R4","L1","R4","Control","West-2","Western"
"461","G6.T6.R4_L3",49.6474,0.2293,1e-04,"G6.T6.R4","L3","R4","Control","West-2","Western"
"462","G6.T6.R5_L1",49.7812,0.0308,0,"G6.T6.R5","L1","R5","Control","West-2","Western"
"463","G6.T6.R5_L2",51.7356,0.0048,0,"G6.T6.R5","L2","R5","Control","West-2","Western"
"464","G7.T1.R1_L1",28.8887,0.5245,0,"G7.T1.R1","L1","R1","Alternaria","West-1","Western"
"465","G7.T1.R1_L2",45.5021,0.3785,0,"G7.T1.R1","L2","R1","Alternaria","West-1","Western"
"466","G7.T1.R1_L3",37.3047,0.2952,0,"G7.T1.R1","L3","R1","Alternaria","West-1","Western"
"467","G7.T1.R2_L2",39.8967,0.6632,0,"G7.T1.R2","L2","R2","Alternaria","West-1","Western"
"468","G7.T1.R3_L2",46.4817,0.4434,0,"G7.T1.R3","L2","R3","Alternaria","West-1","Western"
"469","G7.T1.R3_L3",47.026,0.2021,0,"G7.T1.R3","L3","R3","Alternaria","West-1","Western"
"470","G7.T1.R4_L1",30.833,0.1022,0,"G7.T1.R4","L1","R4","Alternaria","West-1","Western"
"471","G7.T1.R4_L2",40.8045,2.4363,0.0011,"G7.T1.R4","L2","R4","Alternaria","West-1","Western"
"472","G7.T1.R5_L1",41.3674,0.1742,0,"G7.T1.R5","L1","R5","Alternaria","West-1","Western"
"473","G7.T1.R5_L2",17.6693,0.0936,0,"G7.T1.R5","L2","R5","Alternaria","West-1","Western"
"474","G7.T1.R5_L3",27.0239,0.2916,0,"G7.T1.R5","L3","R5","Alternaria","West-1","Western"
"475","G7.T2.R1_L2",25.9329,0.1502,0,"G7.T2.R1","L2","R1","Cladosporium","West-1","Western"
"476","G7.T2.R1_L3",18.4567,0.1163,0,"G7.T2.R1","L3","R1","Cladosporium","West-1","Western"
"477","G7.T2.R2_L1",83.4325,0.6951,0,"G7.T2.R2","L1","R2","Cladosporium","West-1","Western"
"478","G7.T2.R2_L2",50.8846,0.1636,0,"G7.T2.R2","L2","R2","Cladosporium","West-1","Western"
"479","G7.T2.R2_L3",51.8801,1.1439,0,"G7.T2.R2","L3","R2","Cladosporium","West-1","Western"
"480","G7.T2.R4_L1",25.4527,1.0923,0.0011,"G7.T2.R4","L1","R4","Cladosporium","West-1","Western"
"481","G7.T2.R4_L2",19.9934,0.7106,5e-04,"G7.T2.R4","L2","R4","Cladosporium","West-1","Western"
"482","G7.T2.R4_L3",17.1925,0.1852,0.0015,"G7.T2.R4","L3","R4","Cladosporium","West-1","Western"
"483","G7.T2.R5_L1",33.6347,0.6222,0,"G7.T2.R5","L1","R5","Cladosporium","West-1","Western"
"484","G7.T2.R5_L3",25.6317,0.6402,0,"G7.T2.R5","L3","R5","Cladosporium","West-1","Western"
"485","G7.T3.R1_L1",35.0083,0.6173,0,"G7.T3.R1","L1","R1","Fusarium","West-1","Western"
"486","G7.T3.R2_L1",69.3554,0.5458,0,"G7.T3.R2","L1","R2","Fusarium","West-1","Western"
"487","G7.T3.R2_L2",49.3454,0.6504,0,"G7.T3.R2","L2","R2","Fusarium","West-1","Western"
"488","G7.T3.R2_L3",63.8084,1.0637,0,"G7.T3.R2","L3","R2","Fusarium","West-1","Western"
"489","G7.T3.R3_L1",60.7328,0.0447,0,"G7.T3.R3","L1","R3","Fusarium","West-1","Western"
"490","G7.T3.R3_L2",47.1206,0.068,0,"G7.T3.R3","L2","R3","Fusarium","West-1","Western"
"491","G7.T3.R3_L3",48.8607,0.3979,0,"G7.T3.R3","L3","R3","Fusarium","West-1","Western"
"492","G7.T3.R4_L1",40.525,0.9053,0,"G7.T3.R4","L1","R4","Fusarium","West-1","Western"
"493","G7.T3.R4_L2",53.4038,2.1411,0.0018,"G7.T3.R4","L2","R4","Fusarium","West-1","Western"
"494","G7.T3.R5_L2",51.3133,1.1043,1e-04,"G7.T3.R5","L2","R5","Fusarium","West-1","Western"
"495","G7.T3.R5_L3",30.0198,0.6983,0,"G7.T3.R5","L3","R5","Fusarium","West-1","Western"
"496","G7.T4.R3_L1",31.8585,0.0561,0,"G7.T4.R3","L1","R3","Aureobasidium","West-1","Western"
"497","G7.T4.R3_L2",53.3341,0.7426,4e-04,"G7.T4.R3","L2","R3","Aureobasidium","West-1","Western"
"498","G7.T4.R3_L3",26.1755,0.2785,0,"G7.T4.R3","L3","R3","Aureobasidium","West-1","Western"
"499","G7.T4.R4_L1",50.7951,0.9531,0,"G7.T4.R4","L1","R4","Aureobasidium","West-1","Western"
"500","G7.T4.R4_L2",43.2442,1.0083,3e-04,"G7.T4.R4","L2","R4","Aureobasidium","West-1","Western"
"501","G7.T4.R4_L3",69.519,1.8581,1e-04,"G7.T4.R4","L3","R4","Aureobasidium","West-1","Western"
"502","G7.T5.R1_L1",22.2,0.5516,0,"G7.T5.R1","L1","R1","Dioszegia","West-1","Western"
"503","G7.T5.R1_L2",58.4236,3.3493,3e-04,"G7.T5.R1","L2","R1","Dioszegia","West-1","Western"
"504","G7.T5.R2_L1",38.4936,0.0142,0,"G7.T5.R2","L1","R2","Dioszegia","West-1","Western"
"505","G7.T5.R2_L2",30.7399,0.037,0,"G7.T5.R2","L2","R2","Dioszegia","West-1","Western"
"506","G7.T5.R2_L3",22.1374,0.1733,0,"G7.T5.R2","L3","R2","Dioszegia","West-1","Western"
"507","G7.T5.R4_L1",47.251,0.4871,0,"G7.T5.R4","L1","R4","Dioszegia","West-1","Western"
"508","G7.T5.R4_L2",34.6718,0.5386,0,"G7.T5.R4","L2","R4","Dioszegia","West-1","Western"
"509","G7.T5.R4_L3",52.0938,4.8821,0.0415,"G7.T5.R4","L3","R4","Dioszegia","West-1","Western"
"510","G7.T5.R5_L1",34.2475,0.0836,0,"G7.T5.R5","L1","R5","Dioszegia","West-1","Western"
"511","G7.T5.R5_L2",14.6888,0.1375,0,"G7.T5.R5","L2","R5","Dioszegia","West-1","Western"
"512","G7.T6.R2_L1",38.413,0.4001,0,"G7.T6.R2","L1","R2","Control","West-1","Western"
"513","G7.T6.R2_L2",33.7185,0.908,6e-04,"G7.T6.R2","L2","R2","Control","West-1","Western"
"514","G7.T6.R3_L3",61.707,0.6263,0,"G7.T6.R3","L3","R3","Control","West-1","Western"
"515","G7.T6.R4_L1",30.5956,1.931,0,"G7.T6.R4","L1","R4","Control","West-1","Western"
"516","G7.T6.R4_L2",20.5939,1.5047,5e-04,"G7.T6.R4","L2","R4","Control","West-1","Western"
"517","G7.T6.R5_L1",46.8952,0.7009,0,"G7.T6.R5","L1","R5","Control","West-1","Western"
"518","G7.T6.R5_L3",45.9088,0.5931,0,"G7.T6.R5","L3","R5","Control","West-1","Western"
"519","G8.T1.R1_L1",55.1325,4.2069,0.1992,"G8.T1.R1","L1","R1","Alternaria","East-4","Eastern"
"520","G8.T1.R2_L3",24.8161,8.619,2.9176,"G8.T1.R2","L3","R2","Alternaria","East-4","Eastern"
"521","G8.T1.R3_L1",9.7218,0.8666,6e-04,"G8.T1.R3","L1","R3","Alternaria","East-4","Eastern"
"522","G8.T1.R3_L2",11.1389,0.4732,0.0022,"G8.T1.R3","L2","R3","Alternaria","East-4","Eastern"
"523","G8.T1.R3_L3",14.565,1.7372,0.1202,"G8.T1.R3","L3","R3","Alternaria","East-4","Eastern"
"524","G8.T1.R4_L1",17.2374,2.3418,0.2337,"G8.T1.R4","L1","R4","Alternaria","East-4","Eastern"
"525","G8.T1.R4_L3",22.4166,2.4473,0.2284,"G8.T1.R4","L3","R4","Alternaria","East-4","Eastern"
"526","G8.T1.R5_L1",30.1758,0.3148,0.0153,"G8.T1.R5","L1","R5","Alternaria","East-4","Eastern"
"527","G8.T1.R5_L2",39.8972,0.3202,0.0089,"G8.T1.R5","L2","R5","Alternaria","East-4","Eastern"
"528","G8.T2.R1_L1",36.1498,2.0363,0.1987,"G8.T2.R1","L1","R1","Cladosporium","East-4","Eastern"
"529","G8.T2.R1_L2",42.1903,3.6026,0.4722,"G8.T2.R1","L2","R1","Cladosporium","East-4","Eastern"
"530","G8.T2.R1_L3",40.0945,2.9754,0.2737,"G8.T2.R1","L3","R1","Cladosporium","East-4","Eastern"
"531","G8.T2.R2_L1",33.3684,3.6863,0.6682,"G8.T2.R2","L1","R2","Cladosporium","East-4","Eastern"
"532","G8.T2.R2_L2",33.3129,1.9081,0.2485,"G8.T2.R2","L2","R2","Cladosporium","East-4","Eastern"
"533","G8.T2.R2_L3",18.955,2.0057,0.2968,"G8.T2.R2","L3","R2","Cladosporium","East-4","Eastern"
"534","G8.T2.R3_L1",43.8318,5.3903,0.6874,"G8.T2.R3","L1","R3","Cladosporium","East-4","Eastern"
"535","G8.T2.R3_L2",27.8732,1.7401,0.3349,"G8.T2.R3","L2","R3","Cladosporium","East-4","Eastern"
"536","G8.T2.R4_L1",22.9949,0.1941,0.0047,"G8.T2.R4","L1","R4","Cladosporium","East-4","Eastern"
"537","G8.T2.R4_L2",18.1141,0.5955,0.0255,"G8.T2.R4","L2","R4","Cladosporium","East-4","Eastern"
"538","G8.T2.R4_L3",14.7871,0.3537,0.0268,"G8.T2.R4","L3","R4","Cladosporium","East-4","Eastern"
"539","G8.T2.R5_L2",34.9333,0.3853,0.0519,"G8.T2.R5","L2","R5","Cladosporium","East-4","Eastern"
"540","G8.T2.R5_L3",44.1388,1.4953,0.2035,"G8.T2.R5","L3","R5","Cladosporium","East-4","Eastern"
"541","G8.T3.R1_L1",50.133,5.036,0.61,"G8.T3.R1","L1","R1","Fusarium","East-4","Eastern"
"542","G8.T3.R1_L2",49.28,1.8118,0.0992,"G8.T3.R1","L2","R1","Fusarium","East-4","Eastern"
"543","G8.T3.R1_L3",47.2864,2.2556,0.2063,"G8.T3.R1","L3","R1","Fusarium","East-4","Eastern"
"544","G8.T3.R2_L1",42.1116,1.865,0.137,"G8.T3.R2","L1","R2","Fusarium","East-4","Eastern"
"545","G8.T3.R3_L1",40.4227,2.7279,0.0127,"G8.T3.R3","L1","R3","Fusarium","East-4","Eastern"
"546","G8.T3.R3_L3",21.3193,4.0367,0.4972,"G8.T3.R3","L3","R3","Fusarium","East-4","Eastern"
"547","G8.T3.R4_L1",52.7045,2.6601,0.3558,"G8.T3.R4","L1","R4","Fusarium","East-4","Eastern"
"548","G8.T3.R4_L2",50.2024,3.0758,0.4815,"G8.T3.R4","L2","R4","Fusarium","East-4","Eastern"
"549","G8.T3.R5_L1",26.6928,0.5072,0.0467,"G8.T3.R5","L1","R5","Fusarium","East-4","Eastern"
"550","G8.T3.R5_L2",30.382,0.4259,0.0355,"G8.T3.R5","L2","R5","Fusarium","East-4","Eastern"
"551","G8.T3.R5_L3",37.9572,0.2335,0.0101,"G8.T3.R5","L3","R5","Fusarium","East-4","Eastern"
"552","G8.T4.R1_L1",28.5445,0.6648,0.0616,"G8.T4.R1","L1","R1","Aureobasidium","East-4","Eastern"
"553","G8.T4.R1_L2",38.4082,1.423,0.1515,"G8.T4.R1","L2","R1","Aureobasidium","East-4","Eastern"
"554","G8.T4.R1_L3",24.8701,0.5807,0.0312,"G8.T4.R1","L3","R1","Aureobasidium","East-4","Eastern"
"555","G8.T4.R2_L1",41.9084,6.8326,0.8798,"G8.T4.R2","L1","R2","Aureobasidium","East-4","Eastern"
"556","G8.T4.R2_L2",24.9132,2.185,0.0878,"G8.T4.R2","L2","R2","Aureobasidium","East-4","Eastern"
"557","G8.T4.R2_L3",33.7254,1.9248,0.1359,"G8.T4.R2","L3","R2","Aureobasidium","East-4","Eastern"
"558","G8.T4.R3_L1",30.0707,3.6727,0.6979,"G8.T4.R3","L1","R3","Aureobasidium","East-4","Eastern"
"559","G8.T4.R3_L2",31.2336,7.5368,2.6223,"G8.T4.R3","L2","R3","Aureobasidium","East-4","Eastern"
"560","G8.T4.R4_L2",26.267,1.3397,0.0978,"G8.T4.R4","L2","R4","Aureobasidium","East-4","Eastern"
"561","G8.T4.R5_L2",35.032,2.0645,0.1027,"G8.T4.R5","L2","R5","Aureobasidium","East-4","Eastern"
"562","G8.T4.R5_L3",26.9564,0.0815,0.0041,"G8.T4.R5","L3","R5","Aureobasidium","East-4","Eastern"
"563","G8.T5.R1_L2",52.4921,2.3068,0.1885,"G8.T5.R1","L2","R1","Dioszegia","East-4","Eastern"
"564","G8.T5.R2_L1",11.4546,0.2971,2e-04,"G8.T5.R2","L1","R2","Dioszegia","East-4","Eastern"
"565","G8.T5.R2_L3",21.7338,4.7589,0.3093,"G8.T5.R2","L3","R2","Dioszegia","East-4","Eastern"
"566","G8.T5.R3_L2",31.3067,4.0728,0.8912,"G8.T5.R3","L2","R3","Dioszegia","East-4","Eastern"
"567","G8.T5.R3_L3",17.3848,1.5562,0.296,"G8.T5.R3","L3","R3","Dioszegia","East-4","Eastern"
"568","G8.T5.R4_L1",27.3595,1.1291,0.0692,"G8.T5.R4","L1","R4","Dioszegia","East-4","Eastern"
"569","G8.T5.R4_L2",38.5716,5.527,1.0289,"G8.T5.R4","L2","R4","Dioszegia","East-4","Eastern"
"570","G8.T5.R4_L3",41.3237,9.043,2.2362,"G8.T5.R4","L3","R4","Dioszegia","East-4","Eastern"
"571","G8.T6.R1_L1",54.6507,11.3764,2.3445,"G8.T6.R1","L1","R1","Control","East-4","Eastern"
"572","G8.T6.R2_L3",15.4763,0.6838,0.0486,"G8.T6.R2","L3","R2","Control","East-4","Eastern"
"573","G8.T6.R3_L1",48.1783,2.2559,0.2328,"G8.T6.R3","L1","R3","Control","East-4","Eastern"
"574","G8.T6.R3_L2",37.599,3.15,0.6928,"G8.T6.R3","L2","R3","Control","East-4","Eastern"
"575","G8.T6.R4_L1",21.5523,0.5449,0.0125,"G8.T6.R4","L1","R4","Control","East-4","Eastern"
"576","G8.T6.R4_L2",19.0521,1.0579,0.0688,"G8.T6.R4","L2","R4","Control","East-4","Eastern"
"577","G8.T6.R4_L3",21.681,1.353,0.0913,"G8.T6.R4","L3","R4","Control","East-4","Eastern"
"578","G8.T6.R5_L2",24.5267,0.1371,0.0084,"G8.T6.R5","L2","R5","Control","East-4","Eastern"
"579","G8.T6.R5_L3",28.9793,0.7721,0.0801,"G8.T6.R5","L3","R5","Control","East-4","Eastern"
"580","G9.T1.R1_L1",15.4473,3.0884,0.0714,"G9.T1.R1","L1","R1","Alternaria","East-5","Eastern"
"581","G9.T1.R1_L2",11.8556,1.9651,0.0143,"G9.T1.R1","L2","R1","Alternaria","East-5","Eastern"
"582","G9.T1.R1_L3",10.5326,2.0903,0.0583,"G9.T1.R1","L3","R1","Alternaria","East-5","Eastern"
"583","G9.T1.R2_L1",18.2232,2.7916,0.4014,"G9.T1.R2","L1","R2","Alternaria","East-5","Eastern"
"584","G9.T1.R2_L2",27.6722,5.7824,0.4187,"G9.T1.R2","L2","R2","Alternaria","East-5","Eastern"
"585","G9.T1.R2_L3",23.1806,5.6738,1.2973,"G9.T1.R2","L3","R2","Alternaria","East-5","Eastern"
"586","G9.T1.R3_L1",27.1773,4.5852,0.116,"G9.T1.R3","L1","R3","Alternaria","East-5","Eastern"
"587","G9.T1.R3_L2",27.1783,6.3786,0.5494,"G9.T1.R3","L2","R3","Alternaria","East-5","Eastern"
"588","G9.T1.R3_L3",36.3105,10.5883,1.9488,"G9.T1.R3","L3","R3","Alternaria","East-5","Eastern"
"589","G9.T1.R4_L1",42.3338,7.6985,0.6044,"G9.T1.R4","L1","R4","Alternaria","East-5","Eastern"
"590","G9.T1.R4_L2",52.0223,5.3203,0.5646,"G9.T1.R4","L2","R4","Alternaria","East-5","Eastern"
"591","G9.T1.R4_L3",35.3113,7.0897,1.3515,"G9.T1.R4","L3","R4","Alternaria","East-5","Eastern"
"592","G9.T1.R5_L1",7.7424,0.1017,0.01,"G9.T1.R5","L1","R5","Alternaria","East-5","Eastern"
"593","G9.T1.R5_L2",10.7275,1.3327,0.0739,"G9.T1.R5","L2","R5","Alternaria","East-5","Eastern"
"594","G9.T1.R5_L3",3.7422,0.0907,0.0031,"G9.T1.R5","L3","R5","Alternaria","East-5","Eastern"
"595","G9.T2.R1_L1",40.2704,5.0304,0.2161,"G9.T2.R1","L1","R1","Cladosporium","East-5","Eastern"
"596","G9.T2.R1_L2",40.8389,7.2756,0.1712,"G9.T2.R1","L2","R1","Cladosporium","East-5","Eastern"
"597","G9.T2.R1_L3",51.5833,5.7669,0.261,"G9.T2.R1","L3","R1","Cladosporium","East-5","Eastern"
"598","G9.T2.R2_L1",24.4466,2.3514,0.0171,"G9.T2.R2","L1","R2","Cladosporium","East-5","Eastern"
"599","G9.T2.R2_L3",17.9697,4.0928,0.4417,"G9.T2.R2","L3","R2","Cladosporium","East-5","Eastern"
"600","G9.T2.R3_L1",40.7234,5.2153,0.3504,"G9.T2.R3","L1","R3","Cladosporium","East-5","Eastern"
"601","G9.T2.R3_L2",41.5819,1.6189,0.0964,"G9.T2.R3","L2","R3","Cladosporium","East-5","Eastern"
"602","G9.T2.R3_L3",37.2418,6.2196,0.7699,"G9.T2.R3","L3","R3","Cladosporium","East-5","Eastern"
"603","G9.T2.R4_L1",29.305,5.0245,0.1525,"G9.T2.R4","L1","R4","Cladosporium","East-5","Eastern"
"604","G9.T2.R4_L2",33.7289,7.0102,0.6861,"G9.T2.R4","L2","R4","Cladosporium","East-5","Eastern"
"605","G9.T2.R4_L3",30.0918,1.7398,0.0795,"G9.T2.R4","L3","R4","Cladosporium","East-5","Eastern"
"606","G9.T3.R1_L1",8.0958,0.0549,0,"G9.T3.R1","L1","R1","Fusarium","East-5","Eastern"
"607","G9.T3.R1_L3",8.0538,0.5977,0.0692,"G9.T3.R1","L3","R1","Fusarium","East-5","Eastern"
"608","G9.T3.R3_L1",21.2997,1.7733,0.0388,"G9.T3.R3","L1","R3","Fusarium","East-5","Eastern"
"609","G9.T3.R3_L2",16.6552,2.4808,0.1317,"G9.T3.R3","L2","R3","Fusarium","East-5","Eastern"
"610","G9.T3.R4_L1",27.2278,3.3318,0.0634,"G9.T3.R4","L1","R4","Fusarium","East-5","Eastern"
"611","G9.T3.R4_L2",22.9809,5.3999,0.8013,"G9.T3.R4","L2","R4","Fusarium","East-5","Eastern"
"612","G9.T3.R4_L3",33.9552,5.3652,0.1389,"G9.T3.R4","L3","R4","Fusarium","East-5","Eastern"
"613","G9.T3.R5_L1",16.1757,0.3555,0.0044,"G9.T3.R5","L1","R5","Fusarium","East-5","Eastern"
"614","G9.T3.R5_L2",25.6867,0.7849,0.0174,"G9.T3.R5","L2","R5","Fusarium","East-5","Eastern"
"615","G9.T3.R5_L3",18.4274,0.5902,0.0613,"G9.T3.R5","L3","R5","Fusarium","East-5","Eastern"
"616","G9.T4.R1_L1",56.0265,0.593,0.0048,"G9.T4.R1","L1","R1","Aureobasidium","East-5","Eastern"
"617","G9.T4.R1_L2",44.2554,5.2723,0.0974,"G9.T4.R1","L2","R1","Aureobasidium","East-5","Eastern"
"618","G9.T4.R1_L3",40.8437,8.6729,0.1331,"G9.T4.R1","L3","R1","Aureobasidium","East-5","Eastern"
"619","G9.T4.R2_L1",24.1747,2.7729,0.0538,"G9.T4.R2","L1","R2","Aureobasidium","East-5","Eastern"
"620","G9.T4.R2_L2",15.1751,2.3339,0.0351,"G9.T4.R2","L2","R2","Aureobasidium","East-5","Eastern"
"621","G9.T4.R2_L3",12.8792,0.7167,7e-04,"G9.T4.R2","L3","R2","Aureobasidium","East-5","Eastern"
"622","G9.T4.R3_L1",21.5143,2.1964,0.1425,"G9.T4.R3","L1","R3","Aureobasidium","East-5","Eastern"
"623","G9.T4.R3_L3",18.8432,1.4795,0.1149,"G9.T4.R3","L3","R3","Aureobasidium","East-5","Eastern"
"624","G9.T4.R4_L1",26.4151,1.2036,0.0174,"G9.T4.R4","L1","R4","Aureobasidium","East-5","Eastern"
"625","G9.T4.R4_L2",32.0236,7.2437,0.9047,"G9.T4.R4","L2","R4","Aureobasidium","East-5","Eastern"
"626","G9.T4.R4_L3",37.5809,11.0608,1.0852,"G9.T4.R4","L3","R4","Aureobasidium","East-5","Eastern"
"627","G9.T5.R1_L1",6.2515,0.1241,0,"G9.T5.R1","L1","R1","Dioszegia","East-5","Eastern"
"628","G9.T5.R1_L2",7.5087,0.4341,0,"G9.T5.R1","L2","R1","Dioszegia","East-5","Eastern"
"629","G9.T5.R2_L2",35.0513,1.3299,0.0218,"G9.T5.R2","L2","R2","Dioszegia","East-5","Eastern"
"630","G9.T5.R2_L3",37.9219,1.2443,0.0142,"G9.T5.R2","L3","R2","Dioszegia","East-5","Eastern"
"631","G9.T5.R3_L1",14.5043,1.0114,5e-04,"G9.T5.R3","L1","R3","Dioszegia","East-5","Eastern"
"632","G9.T5.R3_L2",22.5456,1.7798,0.0075,"G9.T5.R3","L2","R3","Dioszegia","East-5","Eastern"
"633","G9.T5.R3_L3",21.2047,1.4384,0.0121,"G9.T5.R3","L3","R3","Dioszegia","East-5","Eastern"
"634","G9.T5.R4_L1",23.292,2.9571,0.113,"G9.T5.R4","L1","R4","Dioszegia","East-5","Eastern"
"635","G9.T5.R4_L2",26.6327,6.4886,0.6211,"G9.T5.R4","L2","R4","Dioszegia","East-5","Eastern"
"636","G9.T5.R4_L3",25.8231,1.6102,0.0523,"G9.T5.R4","L3","R4","Dioszegia","East-5","Eastern"
"637","G9.T5.R5_L1",29.0897,1.777,0.1444,"G9.T5.R5","L1","R5","Dioszegia","East-5","Eastern"
"638","G9.T5.R5_L2",31.5864,0.8792,0.0454,"G9.T5.R5","L2","R5","Dioszegia","East-5","Eastern"
"639","G9.T5.R5_L3",25.2741,2.1137,0.2243,"G9.T5.R5","L3","R5","Dioszegia","East-5","Eastern"
"640","G9.T6.R1_L1",39.1289,6.3072,0.3686,"G9.T6.R1","L1","R1","Control","East-5","Eastern"
"641","G9.T6.R1_L3",19.3834,4.1123,0.1275,"G9.T6.R1","L3","R1","Control","East-5","Eastern"
"642","G9.T6.R2_L2",41.2341,5.2228,0.2938,"G9.T6.R2","L2","R2","Control","East-5","Eastern"
"643","G9.T6.R2_L3",52.4968,7.8946,0.6911,"G9.T6.R2","L3","R2","Control","East-5","Eastern"
"644","G9.T6.R3_L1",36.0937,5.7776,0.3989,"G9.T6.R3","L1","R3","Control","East-5","Eastern"
"645","G9.T6.R3_L3",32.169,5.3337,0.9622,"G9.T6.R3","L3","R3","Control","East-5","Eastern"
"646","G9.T6.R4_L1",16.4329,2.4636,0.1398,"G9.T6.R4","L1","R4","Control","East-5","Eastern"
"647","G9.T6.R4_L2",21.0085,1.6374,0.0717,"G9.T6.R4","L2","R4","Control","East-5","Eastern"
"648","G9.T6.R4_L3",9.4293,1.4489,0.1243,"G9.T6.R4","L3","R4","Control","East-5","Eastern"
"649","G9.T6.R5_L1",20.8656,0.2724,0.0026,"G9.T6.R5","L1","R5","Control","East-5","Eastern"
"650","G9.T6.R5_L2",16.1383,0.1286,6e-04,"G9.T6.R5","L2","R5","Control","East-5","Eastern"
"651","G9.T6.R5_L3",10.18,0.1954,0.0015,"G9.T6.R5","L3","R5","Control","East-5","Eastern"
